RÉSUMÉ ÉTUDIANT
Code,4213
Année,4A
Type,2
Groupe,G2_10
Vacations Poly (total),64
Détail,normal:40 examen:5 rattrap:13 débord:6

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),—,Poly 4/6 avec 6214,cours/indispo promo (C),Poly 4/6 avec 6214,—,—,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),—,Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
39,1,cours/indispo promo (C),—,Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
40,1,cours/indispo promo (C),—,Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
41,1,cours/indispo promo (C),—,Poly 4/6 avec 6214,cours/indispo promo (C),Poly 4/6 avec 6214,—,—,cours/indispo promo (C),cours/indispo promo (C),—
42,1,cours/indispo promo (C),—,Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
43,1,cours/indispo promo (C),—,Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
44,1,cours/indispo promo (C),—,Poly 4/6 avec 6214,cours/indispo promo (C),Poly 4/6 avec 6214,—,—,cours/indispo promo (C),cours/indispo promo (C),—
45,2,—,—,cours/indispo promo (C),Poly 4/6 avec 6214 (rattrap),—,cours/indispo promo (C),—,—,cours/indispo promo (C),cours/indispo promo (C)
46,2,—,—,cours/indispo promo (C),—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,cours/indispo promo (C)
47,2,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
48,2,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
49,2,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
50,2,—,—,cours/indispo promo (C),—,Poly 6A absent (examen),—,—,—,—,cours/indispo promo (C)
51,2,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,Poly 4/6 avec 6214,—,—,—,—,cours/indispo promo (C)
52,2,—,—,—,—,Poly 4/6 avec 6214 (rattrap),Poly 4/6 avec 6214 (rattrap),—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,—,Poly 4/6 avec 6214 (examen),Poly 4/6 avec 6214 (examen),—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER)
3,3,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
4,3,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
5,3,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
6,3,—,—,cours/indispo promo (C),Poly 4/6 avec 6214 (rattrap),cours/indispo promo (C),Poly 4/6 avec 6214 (rattrap),—,—,cours/indispo promo (C),—
7,3,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,cours/indispo promo (C),Poly 4/6 avec 6214,—,—,cours/indispo promo (C),—
8,3,—,—,cours/indispo promo (C),Poly 4/6 avec 6214,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—
9,4,—,—,cours/indispo promo (C),Poly 4/6 avec 6214 (rattrap),Poly 4/6 avec 6214 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),—
10,4,—,—,cours/indispo promo (C),—,Poly 4/6 avec 6214 (rattrap),cours/indispo promo (C),Service sanitaire (SS-P4G3),—,cours/indispo promo (C),Service sanitaire (SS-P4G3)
11,4,—,—,cours/indispo promo (C),Poly 4/6 avec 6214 (rattrap),—,cours/indispo promo (C),Service sanitaire (SS-P4G3),—,cours/indispo promo (C),Service sanitaire (SS-P4G3)
12,4,—,—,cours/indispo promo (C),—,Poly 4/6 avec 6214 (rattrap),cours/indispo promo (C),Service sanitaire (SS-P4G3),—,cours/indispo promo (C),Service sanitaire (SS-P4G3)
13,4,—,—,cours/indispo promo (C),Poly 4/6 avec 6214 (rattrap),Poly 4/6 avec 6214 (rattrap),cours/indispo promo (C),Service sanitaire (SS-P4G3),—,cours/indispo promo (C),Service sanitaire (SS-P4G3)
14,4,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (C),Poly 4/6 avec 6214 (examen),Poly 4/6 avec 6214,cours/indispo promo (C),Service sanitaire (SS-P4G3),—,cours/indispo promo (C),Service sanitaire (SS-P4G3)
15,4,—,—,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 6214 (rattrap),—,Service sanitaire (SS-P4G3),—,cours/indispo promo (C),Service sanitaire (SS-P4G3)
16,4,—,—,Poly 6A absent,—,—,—,Service sanitaire (SS-P4G3),—,—,Service sanitaire (SS-P4G3)
17,4,—,—,Poly 6A absent,Poly 6A absent (débord),—,—,—,—,—,—
18,5,—,—,—,—,—,—,—,—,—,—
19,5,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (F),cours/indispo promo (F),—,—
20,5,—,—,Poly 6A absent,—,—,—,—,—,—,—
21,5,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—,—,—,—,—
22,5,—,—,Poly 6A absent,Poly 6A absent (débord),—,—,—,—,—,—
23,5,—,—,Poly 4/6 avec 6214,—,Poly 4/6 avec 6214,—,—,—,—,—
24,5,—,—,Poly 4/6 avec 6214,Poly 4/6 avec 6214 (débord),—,—,—,—,—,—
25,5,—,—,Poly 4/6 avec 6214,Poly 4/6 avec 6214 (débord),—,—,—,—,—,—
26,5,—,—,Poly 4/6 avec 6214,—,—,—,—,—,—,—
27,5,—,Poly 4/6 avec 6214 (examen),Poly 4/6 avec 6214,—,—,—,—,—,—,—
28,6,—,—,Poly 4/6 avec 6214,—,Poly 4/6 avec 6214,—,—,—,—,—
29,6,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
30,6,—,—,Poly 4/6 avec 6214,Poly 4/6 avec 6214 (débord),—,—,—,—,—,—
31,6,—,—,Poly 4/6 avec 6214,Poly 4/6 avec 6214 (débord),—,—,—,—,—,—
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,—,—,Poly 4/6 avec 6214,—,—,—,—,—,—,—
35,6,—,—,Poly 4/6 avec 6214,—,Poly 4/6 avec 6214,—,—,—,—,—
