RÉSUMÉ ÉTUDIANT
Code,6416
Année,6A
Type,4
Groupe,G4_13
Vacations Poly (total),59
Détail,normal:49 examen:2 rattrap:7 débord:1

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C)
37,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 4416,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 4416
38,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 4416,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 4416
39,1,—,—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 4416,cours/indispo promo (C),—,Poly 4/6 avec 4416
40,1,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,—
41,1,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,Poly 4/6 avec 4416
42,1,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,Poly 4/6 avec 4416
43,1,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,Poly 4/6 avec 4416
44,1,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,—
45,2,—,—,—,—,—,—,—,Poly 4/6 avec 4416 (rattrap),—,—
46,2,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
47,2,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
48,2,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
49,2,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
50,2,—,—,—,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER),—,—
51,2,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,—
52,2,—,—,—,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,—,—,Poly 4/6 avec 4416 (examen),Poly 4/6 avec 4416 (examen),—,—,—,—,—,—
3,3,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,Poly 4/6 avec 4416
4,3,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,Poly 4/6 avec 4416
5,3,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,Poly 4/6 avec 4416
6,3,—,—,—,—,—,—,—,Poly 4/6 avec 4416 (rattrap),—,Poly 4/6 avec 4416 (rattrap)
7,3,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,—
8,3,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,Poly 4/6 avec 4416
9,4,—,—,—,—,—,—,—,—,—,Poly 4/6 avec 4416 (rattrap)
10,4,—,—,—,—,—,—,—,—,—,—
11,4,—,—,—,—,—,—,—,—,—,Poly 4/6 avec 4416 (rattrap)
12,4,—,—,—,—,—,—,—,—,—,—
13,4,—,—,—,—,—,—,—,—,—,Poly 4/6 avec 4416 (rattrap)
14,4,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—,Poly 4/6 avec 4416,—,Poly 6A seul,—
15,4,—,—,—,—,—,—,—,Poly 4/6 avec 4416 (rattrap),—,—
16,4,S,S,S,S,S,S,S,S,S,S
17,4,S,S,S,S,S,S,S,S,S,S
18,5,S,S,S,S,S,S,S,S,S,S
19,5,S,S,S,S,S,S,S,S,S,S
20,5,S,S,S,S,S,S,S,S,S,S
21,5,S,S,S,S,S,S,S,S,S,S
22,5,S,S,S,S,S,S,S,S,S,S
23,5,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,—
24,5,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
25,5,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
26,5,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
27,5,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
28,6,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,—
29,6,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
30,6,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
31,6,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,—,—,—,—,—,—,Poly 4/6 avec 4416,—,Poly 4/6 avec 4416,—
35,6,—,—,—,—,—,—,Poly 4/6 avec 4416,—,—,Poly 4/6 avec 4416 (débord)
