RÉSUMÉ ÉTUDIANT
Code,6411
Année,6A
Type,4
Groupe,G4_08
Vacations Poly (total),61
Détail,normal:53 examen:2 rattrap:6 débord:0

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C)
37,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 4411,cours/indispo promo (C),cours/indispo promo (C),Poly 4/6 avec 4411
38,1,cours/indispo promo (C),—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 4411,cours/indispo promo (C),cours/indispo promo (C),—
39,1,—,—,—,cours/indispo promo (C),—,—,Poly 4/6 avec 4411,cours/indispo promo (C),—,Poly 4/6 avec 4411
40,1,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,Poly 4/6 avec 4411
41,1,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,Poly 4/6 avec 4411
42,1,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,—
43,1,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,Poly 4/6 avec 4411
44,1,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,Poly 4/6 avec 4411
45,2,—,—,—,—,—,—,—,Poly 4/6 avec 4411 (rattrap),—,—
46,2,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
47,2,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
48,2,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,—
49,2,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
50,2,—,—,—,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER),Poly 4/6 avec 4411,—
51,2,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
52,2,—,—,—,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,S,S,S,S,S,S,S,S,S,S
3,3,S,S,S,S,S,S,S,S,S,S
4,3,S,S,S,S,S,S,S,S,S,S
5,3,S,S,S,S,S,S,S,S,S,S
6,3,S,S,S,S,S,S,S,S,S,S
7,3,S,S,S,S,S,S,S,S,S,S
8,3,S,S,S,S,S,S,S,S,S,S
9,4,—,—,—,—,—,—,—,—,—,Poly 4/6 avec 4411 (rattrap)
10,4,—,—,—,—,—,—,—,—,—,—
11,4,—,—,—,—,—,—,—,—,—,Poly 4/6 avec 4411 (rattrap)
12,4,—,—,—,—,—,—,—,—,—,—
13,4,—,—,—,—,—,—,—,—,—,Poly 4/6 avec 4411 (rattrap)
14,4,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—,Poly 4/6 avec 4411,—,Poly 6A seul,—
15,4,—,—,—,—,—,—,Poly 4/6 avec 4411 (rattrap),Poly 4/6 avec 4411 (rattrap),—,—
16,4,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
17,4,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
18,5,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
19,5,—,—,—,—,Poly 6A seul (examen),—,cours/indispo promo (F),cours/indispo promo (F),Poly 4/6 avec 4411,—
20,5,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,—
21,5,cours/indispo promo (F),cours/indispo promo (F),Poly 4/6 avec 4411 (examen),—,—,—,Poly 4/6 avec 4411,—,—,—
22,5,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
23,5,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
24,5,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
25,5,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,—
26,5,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
27,5,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
28,6,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
29,6,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
30,6,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
31,6,—,—,—,—,—,—,Poly 4/6 avec 4411,—,—,—
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
35,6,—,—,—,—,—,—,Poly 4/6 avec 4411,—,Poly 4/6 avec 4411,—
