RÉSUMÉ ÉTUDIANT
Code,4116
Année,4A
Type,1
Groupe,G1_13
Vacations Poly (total),77
Détail,normal:46 examen:5 rattrap:22 débord:4

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A),cours/indispo promo (A)
37,1,cours/indispo promo (C),Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),Poly 4/6 avec 6116,Urgences (6/4),cours/indispo promo (C),—,—,Occluso,cours/indispo promo (C),cours/indispo promo (C),Paro
39,1,cours/indispo promo (C),Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
40,1,cours/indispo promo (C),Poly 4/6 avec 6116,COMO,cours/indispo promo (C),—,Pédo-soin (PEDO-A3),Radio,cours/indispo promo (C),cours/indispo promo (C),—
41,1,cours/indispo promo (C),Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),Urgences (6/5/4)
42,1,cours/indispo promo (C),Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
43,1,cours/indispo promo (C),Poly 4/6 avec 6116,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
44,1,cours/indispo promo (C),Poly 4/6 avec 6116,Poly 4/6 avec 6116,cours/indispo promo (C),—,—,Radio,cours/indispo promo (C),cours/indispo promo (C),—
45,2,Poly 6A absent (rattrap),Poly 6A absent (rattrap),cours/indispo promo (C),—,Urgences (6/4),cours/indispo promo (C),Paro,—,cours/indispo promo (C),cours/indispo promo (C)
46,2,Poly 6A absent (rattrap),Poly 6A absent (rattrap),cours/indispo promo (C),—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,cours/indispo promo (C)
47,2,—,Poly 6A absent,cours/indispo promo (C),—,—,cours/indispo promo (C),—,Stérilisation,Occluso,cours/indispo promo (C)
48,2,Radio,Poly 6A absent,cours/indispo promo (C),Poly 6A absent,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
49,2,—,Poly 6A absent,cours/indispo promo (C),Urgences (6/5/4),—,cours/indispo promo (C),—,—,—,cours/indispo promo (C)
50,2,Poly 6A absent,—,cours/indispo promo (C),—,—,Pédo-soin (PEDO-A1),—,—,—,cours/indispo promo (C)
51,2,—,Poly 6A absent,cours/indispo promo (C),Poly 6A absent,—,Radio,—,—,Paro,cours/indispo promo (C)
52,2,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),—,Urgences (6/4),COMO,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,Poly 4/6 avec 6116 (examen),Poly 4/6 avec 6116 (examen),—,—,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (ER),cours/indispo promo (ER)
3,3,Pédo-soin (PEDO-B1),Poly 4/6 avec 6116,cours/indispo promo (C),—,cours/indispo promo (C),—,Service sanitaire (SS-P3G3),—,cours/indispo promo (C),Service sanitaire (SS-P3G3)
4,3,—,Poly 4/6 avec 6116,cours/indispo promo (C),Poly 4/6 avec 6116,cours/indispo promo (C),—,Service sanitaire (SS-P3G3),—,cours/indispo promo (C),Service sanitaire (SS-P3G3)
5,3,Urgences (6/4),Poly 4/6 avec 6116,cours/indispo promo (C),Radio,cours/indispo promo (C),—,Service sanitaire (SS-P3G3),—,cours/indispo promo (C),Service sanitaire (SS-P3G3)
6,3,Pédo-soin (PEDO-B1),Poly 4/6 avec 6116 (rattrap),cours/indispo promo (C),Poly 4/6 avec 6116 (rattrap),cours/indispo promo (C),—,Service sanitaire (SS-P3G3),—,cours/indispo promo (C),Service sanitaire (SS-P3G3)
7,3,Occluso,Poly 4/6 avec 6116,cours/indispo promo (C),Poly 4/6 avec 6116,cours/indispo promo (C),—,Service sanitaire (SS-P3G3),—,cours/indispo promo (C),Service sanitaire (SS-P3G3)
8,3,—,Poly 4/6 avec 6116,cours/indispo promo (C),Urgences (6/4),cours/indispo promo (C),—,Service sanitaire (SS-P3G3),Paro,cours/indispo promo (C),Service sanitaire (SS-P3G3)
9,4,—,Poly 4/6 avec 6116 (rattrap),cours/indispo promo (C),Poly 4/6 avec 6116 (rattrap),Stérilisation,cours/indispo promo (C),Service sanitaire (SS-P3G3),Radio,cours/indispo promo (C),Service sanitaire (SS-P3G3)
10,4,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),Pédo-soin (PEDO-B1),—,cours/indispo promo (C),—
11,4,—,Poly 4/6 avec 6116 (rattrap),cours/indispo promo (C),Poly 4/6 avec 6116 (rattrap),Urgences (6/4),cours/indispo promo (C),—,—,cours/indispo promo (C),—
12,4,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),cours/indispo promo (C),—,—,cours/indispo promo (C),Pédo-soin (PEDO-B1),—,cours/indispo promo (C),—
13,4,COMO,Poly 4/6 avec 6116 (rattrap),cours/indispo promo (C),Poly 4/6 avec 6116 (rattrap),—,cours/indispo promo (C),—,—,cours/indispo promo (C),—
14,4,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (C),Poly 4/6 avec 6116 (examen),Radio,cours/indispo promo (C),—,—,cours/indispo promo (C),—
15,4,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),cours/indispo promo (C),cours/indispo promo (C),Urgences (6/4),Paro,—,—,cours/indispo promo (C),—
16,4,Poly 6A absent,Poly 6A absent (débord),—,—,—,—,—,—,—,—
17,4,Poly 6A absent,—,Occluso,—,—,—,Pédo-soin (PEDO-B1),—,—,—
18,5,Radio,—,Urgences (6/4),—,—,—,—,—,—,—
19,5,cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (E),cours/indispo promo (F),cours/indispo promo (F),—,—
20,5,Poly 6A absent,—,Poly 6A absent,—,—,—,—,—,Stérilisation,—
21,5,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—,—,Urgences (6/4),—,—
22,5,—,Radio,Poly 6A absent,Paro,—,Pédo-soin (PEDO-56-merAM),—,—,—,—
23,5,Poly 4/6 avec 6116,—,Poly 4/6 avec 6116,—,—,Pédo-soin (PEDO-56-merAM),—,—,—,—
24,5,Poly 4/6 avec 6116,—,Poly 4/6 avec 6116,—,—,—,Urgences (6/4),—,—,—
25,5,Poly 4/6 avec 6116,—,Poly 4/6 avec 6116,—,—,Pédo-soin (PEDO-56-merAM),—,—,—,—
26,5,Poly 4/6 avec 6116,Poly 4/6 avec 6116 (débord),—,—,—,—,—,—,—,—
27,5,Poly 4/6 avec 6116 (examen),Poly 4/6 avec 6116 (examen),—,—,—,Pédo-soin (PEDO-56-merAM),—,Urgences (6/5/4),—,—
28,6,Poly 4/6 avec 6116,Poly 4/6 avec 6116 (débord),—,—,—,—,—,—,—,—
29,6,Poly 4/6 avec 6116 (rattrap),Poly 4/6 avec 6116 (rattrap),—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
30,6,Poly 4/6 avec 6116,Poly 4/6 avec 6116 (débord),—,—,—,Pédo-soin (PEDO-56-merAM),—,—,—,—
31,6,Poly 4/6 avec 6116,—,Urgences (6/5/4),—,—,—,—,—,—,—
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,Poly 4/6 avec 6116,—,Poly 4/6 avec 6116,—,—,—,—,—,—,—
35,6,Poly 4/6 avec 6116,—,Poly 4/6 avec 6116,—,—,Pédo-soin (PEDO-56-merAM),—,—,—,—
