RÉSUMÉ ÉTUDIANT
Code,6116
Année,6A
Type,1
Groupe,G1_13
Vacations Poly (total),60
Détail,normal:34 examen:5 rattrap:18 débord:3

Semaine,Période,lundi M,lundi AM,mardi M,mardi AM,mercredi M,mercredi AM,jeudi M,jeudi AM,vendredi M,vendredi AM
36,1,cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C),cours/indispo promo (C)
37,1,cours/indispo promo (C),Poly 4/6 avec 4116,Poly 4/6 avec 4116,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
38,1,cours/indispo promo (C),Poly 4/6 avec 4116,—,cours/indispo promo (C),—,—,—,cours/indispo promo (C),cours/indispo promo (C),—
39,1,—,Poly 4/6 avec 4116,Poly 4/6 avec 4116,cours/indispo promo (C),—,—,—,cours/indispo promo (C),—,—
40,1,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—,—
41,1,—,Poly 4/6 avec 4116,Poly 4/6 avec 4116,—,—,—,—,—,—,—
42,1,—,Poly 4/6 avec 4116,Poly 4/6 avec 4116,—,—,—,—,—,—,—
43,1,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—,—
44,1,—,Poly 4/6 avec 4116,Poly 4/6 avec 4116,—,—,—,—,—,—,—
45,2,X,X,X,X,X,X,X,X,X,X
46,2,X,X,X,X,X,X,X,X,X,X
47,2,X,X,X,X,X,X,X,X,X,X
48,2,X,X,X,X,X,X,X,X,X,X
49,2,X,X,X,X,X,X,X,X,X,X
50,2,X,X,X,X,X,X,X,X,X,X
51,2,X,X,X,X,X,X,X,X,X,X
52,2,Poly 4/6 avec 4116 (rattrap),Poly 4/6 avec 4116 (rattrap),—,—,—,—,—,cours/indispo promo (F),cours/indispo promo (F),cours/indispo promo (F)
1,2,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
2,3,Poly 4/6 avec 4116 (examen),Poly 4/6 avec 4116 (examen),—,—,—,—,—,—,—,—
3,3,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—,—
4,3,—,Poly 4/6 avec 4116,—,Poly 4/6 avec 4116,—,—,—,—,—,—
5,3,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—,—
6,3,—,Poly 4/6 avec 4116 (rattrap),—,Poly 4/6 avec 4116 (rattrap),—,—,—,—,—,—
7,3,—,Poly 4/6 avec 4116,—,Poly 4/6 avec 4116,—,—,—,—,—,—
8,3,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—,—
9,4,—,Poly 4/6 avec 4116 (rattrap),—,Poly 4/6 avec 4116 (rattrap),—,—,—,—,—,—
10,4,Poly 4/6 avec 4116 (rattrap),Poly 4/6 avec 4116 (rattrap),—,—,—,—,—,—,—,—
11,4,—,Poly 4/6 avec 4116 (rattrap),—,Poly 4/6 avec 4116 (rattrap),—,—,—,—,—,—
12,4,Poly 4/6 avec 4116 (rattrap),Poly 4/6 avec 4116 (rattrap),—,—,—,—,—,—,—,—
13,4,—,Poly 4/6 avec 4116 (rattrap),—,Poly 4/6 avec 4116 (rattrap),—,—,—,—,—,—
14,4,cours/indispo promo (F),cours/indispo promo (F),—,Poly 4/6 avec 4116 (examen),—,—,—,—,—,—
15,4,Poly 4/6 avec 4116 (rattrap),Poly 4/6 avec 4116 (rattrap),—,—,—,—,—,—,—,—
16,4,S,S,S,S,S,S,S,S,S,S
17,4,S,S,S,S,S,S,S,S,S,S
18,5,S,S,S,S,S,S,S,S,S,S
19,5,S,S,S,S,S,S,S,S,S,S
20,5,S,S,S,S,S,S,S,S,S,S
21,5,S,S,S,S,S,S,S,S,S,S
22,5,S,S,S,S,S,S,S,S,S,S
23,5,Poly 4/6 avec 4116,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—
24,5,Poly 4/6 avec 4116,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—
25,5,Poly 4/6 avec 4116,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—
26,5,Poly 4/6 avec 4116,Poly 4/6 avec 4116 (débord),—,—,—,—,—,—,—,—
27,5,Poly 4/6 avec 4116 (examen),Poly 4/6 avec 4116 (examen),—,—,—,—,—,—,—,—
28,6,Poly 4/6 avec 4116,Poly 4/6 avec 4116 (débord),—,—,—,—,—,—,—,—
29,6,Poly 4/6 avec 4116 (rattrap),Poly 4/6 avec 4116 (rattrap),—,—,cours/indispo promo (F),cours/indispo promo (F),—,—,—,—
30,6,Poly 4/6 avec 4116,Poly 4/6 avec 4116 (débord),—,—,—,—,—,—,—,—
31,6,Poly 4/6 avec 4116,—,—,—,—,—,—,—,—,—
32,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
33,6,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé,fermé
34,6,Poly 4/6 avec 4116,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—
35,6,Poly 4/6 avec 4116,—,Poly 4/6 avec 4116,—,—,—,—,—,—,—
